IMDB Rating,Country,Genres (1st),Production Companies (1st),Year of Release
7.2,France,Crime,Canal+,1992
5.7,United States,Comedy,A24,2022
6.5,United States,Crime,Allied Artists Pictures,1956
7.2,Romania,Comedy,Casa de Filme Unu,1984
5.4,United States,Action,Trimark Pictures,1993
6.3,United States,Action,New World Pictures,1979
5.9,Ireland,Comedy,Hardy Films,2013
5.6,Italy,Comedy,Cecchi Gori Group Tiger Cinematografica,1994
6.3,Canada,Comedy,Echo Media,2016
6.8,United States,Drama,Rent Productions LLC,2005
5.5,United States,Drama,Valhalla Productions LLC,2009
5.9,United States,Comedy,Columbia Pictures,1941
7,India,Action,Dynamo International,1976
6.1,Hungary,Adventure,Hunnia Játékfilmstúdió,1973
7.8,Puerto Rico,Drama,Non-Studios,2006
6.7,Austria,Drama,Prisma Film- und Fernsehproduktion,1996
6.5,Germany,Drama,Neue Mediopolis Filmproduktion,2009
5.8,United States,Action,Universal Pictures,2012
6,Norway,Adventure,Film,1991
6.5,India,Comedy,Luv Films,2019
6.1,Germany,Drama,Prisma Film- und Fernsehproduktion,2002
6.9,United States,Comedy,3 Ring Circus Films,1997
7.1,Spain,Drama,Teide P.C.,1967
5.9,United States,Comedy,Fifteen,1986
5.5,France,Drama,5à 7 Films,2021
5.8,France,Comedy,Ajym Films,1960
5.7,France,Comedy,Téléma,1981
6.7,China,Crime,Maisong Entertainment Investment,2019
6.7,France,Drama,Hirsch,2007
4.7,Australia,Drama,Challenge Film Corporation,1985
4.2,Italy,Romance,Italiana Cinematografica,1958
5,France,Comedy,"""Film Compagnie",1993
6.9,Germany,Drama,Deutsche Forst-Filmproduktion GmbH,1939
4.7,United States,Comedy,Kerosene Films,2009
5.1,India,Drama,October Films,2009
5,Germany,Comedy,Collina Film,2010
5.3,Hungary,Drama,Jeszenszky Film,1942
6.7,United States,Drama,First National Pictures,1939
6.7,India,Comedy,Zone Productions,2016
4.1,United Kingdom,Comedy,George Smith Productions,1938
6.1,United States,Comedy,Universal Pictures,1989
6.8,United States,Horror,21st Century Film Corporation,1990
4.4,United States,Comedy,Dimension Films,1998
7.1,United States,Comedy,Frontier Film,2009
5.7,India,Comedy,New Theatres Limited,1939
6.8,United States,Comedy,Blumhouse Productions,2022
2,Iceland,Drama,Film,2003
2.3,United States,Drama,American National Enterprises,1978
7.3,United Kingdom,Drama,Renn Productions,1979
6.5,Bahrain,Horror,New York Institute of Technology,2011
6.4,United States,Crime,Harristown Funding,1976
3.5,France,Comedy,M6 Films,1999
3.6,United States,Comedy,Studio71,2016
3.9,United Kingdom,Sci-Fi,Lippert Films,1965
7.2,Turkey,Romance,Gunsiray Film,1965
6.5,France,Animation,Cine Woule Company,2021
5.5,United States,Comedy,Madison Wells,2009
6.5,United States,Comedy,Columbia Pictures,1935
7.6,Russia,Action,CTB Film Company,2000
6,Japan,Drama,Shochiku,1979
5,Denmark,Comedy,LumaFilm,2014
8,Japan,Action,Omega Project,2008
5.5,United States,Crime,Filmwave Pictures,1999
4.4,France,Comedy,MDG Productions,1994
5.9,United States,Comedy,Universal Pictures,2009
5.1,Italy,Adventure,Buona Vista,1962
4.7,Canada,Comedy,Independent Edge Films,2014
7.6,Israel,Drama,Israel Film Fund,2012
4.2,Spain,Comedy,Estela Films,1960
7.7,United Kingdom,Biography,Working Title Films,2014
5.7,France,Thriller,Georges Films,2020
2.6,New Zealand,Drama,Hybrid Motion Pictures,2015
6.4,Iran,Action,Tamasha Cultural Institute,2004
5.8,United Kingdom,Drama,World Film Services,1985
5.4,United States,Crime,Atlas Independent,2016
5.9,United Kingdom,Action,Participant,2018
3,United Kingdom,Action,Angry Badger Pictures,2013
5.2,Brazil,Comedy,Conspiração Filmes,2014
7.3,United Kingdom,Drama,Gainsborough Pictures,1948
7.2,Australia,Drama,Film Australia,1976
7.8,United States,Documentary,Black Tabby Films,2020
6.3,United States,Western,Republic Pictures (I),1955
6.9,Russia,Action,12A,1991
6.4,United States,Comedy,New Regency Productions,1996
6.6,Brazil,Comedy,MM Filmes,1998
6.8,India,Action,Jagat Pictures,1955
4.2,Poland,Romance,Kino Swiat,2010
5.4,United States,Horror,Twisted Pictures,2010
7.4,India,Comedy,Century Films,2019
5.8,Poland,Comedy,"""Zespol Filmowy """"Syrena""""""",1958
5.4,Japan,Comedy,Toho Company,2006
3.9,United States,Comedy,The Asylum,2012
6.8,South Africa,Drama,Blixem Productions,2016
2.2,Turkey,Comedy,Macahel Produksiyon,2012
5.6,Czech Republic,Crime,Screenplay By,2018
5.7,Canada,Comedy,E. Motion Films,1990
6.7,United States,Action,Warner Bros.,1950
6.9,United Kingdom,Comedy,Incorporated Television Company (ITC),1988
7,United Kingdom,Action,Eon Productions,1977
6.4,United Kingdom,Adventure,Woodfall Film Productions,1963
3.8,United Kingdom,Drama,Brent Walker Film Productions,1979
6.3,Spain,Drama,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),1997
7.4,Poland,Comedy,Studio Filmowe Kadr,1985
6.5,Argentina,Drama,Ceibita Films,2017
6.2,France,Drama,Cinémadefacto,2011
5,United States,Comedy,Clover Productions,1960
7,United States,Comedy,Norman Maurer Productions,1967
4.6,United Kingdom,Comedy,Civilian Content,2000
7,India,Drama,Rajshri Productions,1972
5.2,United Kingdom,Horror,H B Films,2007
5.6,Spain,Comedy,ABC Cinematográfica,1974
7.1,United States,Comedy,Paramount Pictures,1943
6.3,United States,Comedy,Touchstone Pictures,1994
6.1,France,Thriller,R.T.Z. Production,1984
7.3,Germany,Action,New Line Cinema,2006
3.8,United States,Comedy,Wescom Productions,1982
5.8,"Korea, South",Comedy,Zininsa Film Production,2006
8,Canada,Comedy,Pageman Production,2022
5.6,Spain,Action,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),2020
6.6,United Kingdom,Biography,BBC Films,2018
5.3,Hungary,Comedy,Iris Film,1943
7.2,Estonia,Drama,Kopli Kinokompanii,2012
5.5,France,Drama,Les Films 13,1968
7.1,Spain,Romance,El Imán Cine y Televisión S.A.,1972
6.5,United States,Animation,Stone Cold Productions,2014
5.6,Belgium,Adventure,A Private View,2004
6.5,United States,Documentary,Caveh Zahedi and Jay Rosenblatt,2002
5.9,Finland,Comedy,Suomen Filmiteollisuus,1961
5.8,Argentina,Drama,Argentina Sono Film S.A.C.I.,1967
6.9,France,Drama,Wallworks,2003
5.3,United States,Drama,American Playhouse,1994
6.5,Portugal,Drama,Vermedia,1992
4.5,Iran,Comedy,Poorika Film,1993
6,Denmark,Comedy,Angel Films,2001
4.1,Germany,Comedy,REX Film Produktion,2013
4.9,Greece,Drama,Audiovisuel Multimedia International Production (AMIP),1996
6.7,Japan,Drama,Daini Toei,1960
7.3,Romania,Documentary,HI Film Productions,2020
5.6,Indonesia,Horror,Sinemart Pictures,2009
5.7,Italy,Comedy,Horizon Productions S.r.l.,1982
7.9,Argentina,Crime,FX Sound,2000
6.7,United States,Adventure,Every Tribe Entertainment,2005
2.6,Brazil,Biography,Gospel Produções,2009
4.5,Iran,Drama,Gol Film,2000
4.4,United States,Drama,Film Warriors,1990
6.6,Sweden,Drama,SpectreVision,2013
6.2,Russia,Mystery,Film Par Film,1993
4.2,Canada,Drama,Whizbang Films,2015
6.3,United Kingdom,Comedy,Cliff Edge Pictures,2019
5.1,Spain,Mystery,Aquí y Allí Films,2019
2.5,Spain,Biography,Columbus Films,1951
5.8,United States,Adventure,Capella International,1995
5.1,Greece,Comedy,Nikos Papadopoulos & Co.,1983
7.2,Israel,Comedy,Sallah Company,1964
5.9,India,Drama,Speaking Tree Pictures,2015
5.3,United States,Action,Artists For Change,2020
5.2,Canada,Horror,Universal 1440 Entertainment,2017
4.8,Finland,Comedy,Ere Kokkonen,1991
6.5,United States,Adventure,Universal International Pictures (UI),1953
5.2,Poland,Drama,Akson Studio,2012
5.8,Hungary,Drama,Norien Film,2006
4.9,France,Drama,L.C.J Editions & Productions,1987
6,United States,Comedy,Crescent Film Enterprises,1989
6.7,Australia,Drama,Red Carpet Productions,2004
4.1,United States,Horror,Break-A-Light Entertainment,2019
5,United States,Western,Harvard Film,1961
5.6,India,Action,Tridev Arts,1993
5.5,United States,Drama,Aspire Productions,2015
6.6,United States,Western,Twentieth Century Fox,1941
6.5,United States,Comedy,Paramount Pictures,2013
7.2,United States,Drama,Jasmine Productions Inc.,1997
6.4,Finland,Drama,Suomi-Filmi,1947
6.6,United States,Drama,Murray-Wood Productions,1961
5.4,United States,Comedy,The First Musical Company,1976
8.8,United States,Thriller,Maria Lydia Pictures,2009
6.3,Germany,Comedy,Adolf Winkelmann Filmproduktion,1992
6,United States,Action,Frontier Productions,1975
5.4,United States,Comedy,Universal Pictures,1928
5.9,United States,Crime,Millennium Films,2007
6.9,Kenya,Drama,One Fine Day Films,2019
7.2,Poland,Drama,Rex-Film,1938
8.4,United States,Comedy,Lotus Films,2010
3.6,United Kingdom,Action,Black & Blue Films,2010
6.9,Australia,Drama,Palm Beach Pictures,1978
4.6,India,Action,Padmalaya Studios,2000
4.8,United States,Comedy,Patriot Pictures,2009
6.3,United States,Musical,Paramount Pictures,1933
7.1,Japan,Action,Toei Tokyo,1967
6.9,Syria,Drama,National Film Organization,2005
5.6,United States,Drama,XS Media,2018
6,Philippines,Horror,Viva Films,2022
5.8,United States,Comedy,RKO Radio Pictures,1936
4.2,United States,Crime,Michaelgion,2019
3.1,United States,Comedy,IRS Media,1989
6.4,"Korea, South",Drama,Daewon Productions,1963
6.5,Spain,Adventure,Tornasol Films,2010
6,Sweden,Comedy,Gloria-Film GmbH,1964
3.6,Canada,Action,Emmett/Furla/Oasis Films (EFO Films),2019
2.1,Japan,Action,New Toei,1961
7.6,Greece,Drama,Cappa Defina Productions,2004
7.5,Japan,Drama,Hachi no Su Eiga-bu,1948
6,United States,Comedy,Capitol Films,1997
4.2,United States,Biography,American International Pictures (AIP),1969
4.7,United States,Comedy,Stone Lane Pictures,2020
5.5,Germany,Comedy,ARTE,2018
4.2,Italy,Crime,Lupo Film,1971
6.5,Japan,Crime,Shintoho Film Distribution Committee,1960
3.5,Argentina,Comedy,Tronera Producciones,2021
3.8,United States,Drama,Robert Steiner Film GMBH,1973
4.9,United Kingdom,Horror,Planet Film Productions,1965
6.9,Australia,Drama,Hexagon Productions,1979
5.6,United States,Crime,Curb/Esquire Films,1991
6,Australia,Drama,Paper Bark Films Pty. Ltd.,2011
7,Russia,Comedy,CTB Film Company,1998
6.2,United States,Animation,Affirm Films,2017
6,Canada,Family,Equinoxe Films,2013
5.2,India,Drama,Inderjit Films Combine,2006
6.1,United States,Drama,Paramount Pictures,1932
8.1,United States,Drama,Film Booking Offices of America (FBO),1928
6.8,Hungary,Drama,Hunnia Filmgyár,1962
6.5,France,Drama,Les Films Fernand Rivers,1956
5.8,Switzerland,Drama,Amka Films Productions,2006
7.7,United States,Adventure,American Playhouse,1983
5.8,Mexico,Drama,Instituto Mexicano de Cinematografía (IMCINE),2002
5.6,United States,Drama,Republic Pictures (I),1947
6.2,United States,Drama,Life In Reels Productions,2017
6.9,Philippines,Comedy,CineFilipino,2013
4.7,Spain,Sci-Fi,Fort Knox Audiovisual,2007
4.8,United Kingdom,Comedy,British Film Institute (BFI),1983
4.7,Sweden,Biography,SVT Drama,1995
6.5,United States,Drama,Sigmund Neufeld Productions,1944
5.6,United States,Comedy,Siren Films,1997
8.2,India,Action,Bulb Chamka,2019
7.5,France,Adventure,Gaumont,1988
7.1,United States,Drama,Summit Entertainment,2010
7.1,France,Fantasy,Loreleï,2001
5.8,Sweden,Comedy,Drakfilm Produktion,1981
5.4,United States,Animation,Columbia Pictures,2011
6.5,Mexico,Drama,Ultramar Films,1949
6.7,United States,Comedy,Brodsky-Gould Productions,1972
6.6,Spain,Drama,Alborada P.C.,1981
4.9,United Kingdom,Drama,Arritmia Ltd.,2007
6.9,Greece,Comedy,Spentzos Films,1964
6,United States,Drama,Warner Bros.,1939
7.4,India,Comedy,Chandamama Vijaya Combines,1992
8.3,Netherlands,Adventure,Soundgram Post,2021
5.5,United States,Drama,Shorelight Pictures,2018
7.1,United Kingdom,Crime,Construction Film,2021
4.5,France,Romance,EuropaCorp,2005
5.5,United States,Drama,Dark Highway Films (I),2015
6.7,Mexico,Drama,Cinematográfica Filmex S.A.,1965
6.9,United States,Comedy,Universal Pictures,1993
5.5,United States,Drama,The March of Time,1940
7.5,Germany,Documentary,Julia Ostertag Produktion,2011
4.2,Spain,Comedy,Tecisa,1962
5.4,Brazil,Comedy,Biônica Filmes,2017
6.7,Ecuador,Drama,Caleidoscopio Cine,2016
6.6,Panama,Drama,GC Films,2019
5.2,Egypt,Drama,Egyptian Ministry of Culture,1970
6.1,United States,Comedy,Andy Warhol Factory,1972
6.8,Germany,Drama,Walker Worm Film,2021
6.8,Canada,Documentary,2410540 Ontario,2014
6.9,France,Drama,Bavaria Atelier,1978
3.7,United States,Drama,R.A.P. Filmworks,2001
3.2,Greece,Drama,Nikos Sabatakos & Son,1963
8.1,India,Drama,Film Finance Corporation (FFC),1974
6.4,Denmark,Comedy,Det Danske Filminstitut,2003
6.2,Japan,Animation,Universal Pictures,2018
7.1,Germany,Comedy,Universum Film (UFA),1938
5.4,United States,Adventure,TriStar Pictures,1996
7.2,Romania,Comedy,Libra Film,2012
4.6,United States,Comedy,A-Mark Entertainment,2009
2.9,United States,Horror,Drew Fortier Productions,2021
7.4,United States,Crime,First Artists,1978
6.2,Germany,Drama,Ostlicht Filmproduktion,2012
6.9,United States,Romance,Detroit Film Studio,2018
5.9,Mexico,Comedy,Tartufo Films,2010
2.8,Russia,Comedy,Comedy Club Production,2009
4.8,Germany,Drama,Filmpool Fiction,2016
5.2,Italy,Comedy,Perugia Cinematografica,1977
2.2,United States,Comedy,New Line Cinema,2005
5.9,United States,Comedy,Filmfair Communications,1980
4.5,France,Drama,Gray-Film,1940
4.5,United States,Action,Boll Kino Beteiligungs GmbH & Co. KG,2007
7.1,Argentina,Comedy,La Normanda Producciones,2004
6.1,India,Drama,Film Kunj Pvt. Ltd.,1975
4.8,India,Action,Raseshwari Entertainment,2013
5.9,Canada,Drama,Conquering Lion Pictures,2000
7.6,United States,Drama,Mar Motion Media,2010
6.2,United States,Biography,Ted Turner Pictures,2003
6.8,United States,Drama,Sailor Bear,2017
5.5,France,Comedy,Capture The Flag Films,2014
1.5,United States,Drama,ReelWorks Studios,2018
7.8,Canada,Crime,Greg Horvath Productions,2008
5.9,Spain,Crime,Canal+ España,1995
3.9,Finland,Comedy,Tuotanto Visa Mäkinen,1984
6.4,United States,Drama,10 West Studios,2010
5.1,United States,Drama,Vanguard International Cinema,1995
7.6,Bulgaria,Comedy,Boyana Film,1976
6.7,France,Drama,Belvédère Productions,1994
6.5,United Kingdom,Drama,Bright Pictures,2007
5.6,United States,Action,Warner Bros.,1939
6.8,India,Sport,Kapil Batra Productions,2012
6.8,United States,Drama,Warner Bros.,1940
7.6,Italy,Biography,Rai Cinema,2000
5.5,Philippines,Action,Luis Nepomuceno Productions,1974
7.6,United States,Drama,Paramount Pictures,1976
5.8,United States,Comedy,Sundial Pictures,2016
6.6,Canada,Documentary,L'An un & Association,1977
5.2,United States,Crime,Ben Stoloff Productions,1948
5.8,Italy,Action,Titanus,1960
5.9,United States,Animation,Paramount Pictures,1998
5.1,Ireland,Drama,Fatface Productions,2001
5.4,Poland,Comedy,TVN,2022
7.1,Mexico,Crime,Cable Hogue Co.,1991
5,United States,Action,Producers Releasing Corporation (PRC),1941
3.4,India,Action,Maruti International,2006
4.3,United States,Action,Alternate Ending Films,2017
7.7,United States,Crime,Raging Cowboy Productions,2012
8.5,United States,Thriller,Upperline Entertainment,2016
4.8,United States,Action,Millennium Films,2005
5.5,United States,Crime,A Hard Work and True Storys Production,2020
6.3,Spain,Biography,Estela Films,1970
7.5,Hungary,Drama,Serendipity Point Films,1999
6.8,India,Drama,Goldmines Telefilms,2014
4,Turkey,Adventure,Türoman Film,1993
4.6,United States,Crime,Scarpe Diem Productions,2014
5.2,Portugal,Drama,"""Instituto do Cinema",2001
7.2,United States,Western,Fox Film Corporation,1933
6.8,United Kingdom,Comedy,Zephyr Films,1997
7.2,Greece,Comedy,Finos Film,1953
7.2,Vietnam,Crime,Canal+,1995
5.1,United States,Adventure,Universal Pictures,1933
7.1,India,Action,Asutosh Films,2005
6.4,United Kingdom,Drama,Barry Mendel Productions,2014
4.7,Poland,Drama,Skorpion Art Film,2008
7.8,United States,Adventure,The Ladd Company,1983
7.1,Japan,Drama,Kabukiza Eiga,1957
6.5,France,Crime,La Société des Films Sirius,1958
6.2,France,Comedy,Cerito Films,1984
7.7,United States,Adventure,Sam Katzman Productions,1947
6.2,Japan,Action,Shochiku,2014
2.7,United States,Documentary,Citizens United Productions,2010
6.4,United States,Animation,Walt Disney Animation Studios,1947
3.3,Poland,Comedy,House Media Company,2021
5.8,United States,Documentary,ABC News Closeup,1979
6.1,Spain,Comedy,Atresmedia Cine,2018
5.7,United States,Comedy,Coma Productions,2012
5,United States,Action,PinUp Productions,2021
5.8,United States,Drama,Clover Productions,1959
6.8,Philippines,Action,Reality Entertainment,2013
6.8,United Kingdom,Drama,Romulus Entertainment,2018
4.4,France,Comedy,Les Films Christian Fechner,1979
4.5,Canada,Adventure,Obel Film,2015
5.4,Greece,Comedy,Anzervos,1966
5.7,Japan,Action,Nikkatsu,1967
6,France,Comedy,Curiosa Films,2017
6.3,France,Comedy,Canal+,1999
5.9,United States,Comedy,New World Pictures,1986
4.9,India,Action,V. V. Creations,1985
5.9,United States,Action,Abraham Productions,2012
6.8,Italy,Comedy,Les Films Copernic,1964
5.4,United States,Drama,Secret Weapon Films,2012
6.9,Germany,Drama,Filmgalerie 451,1995
3.7,Philippines,Horror,Black Sheep,2019
7.1,United States,Action,Icon Entertainment International,1999
5.2,United States,Family,Pure Entertainment,2000
6.1,Netherlands,Comedy,Theorema Films,2004
5.9,United States,Western,Universal Pictures,1926
6.2,Russia,Drama,Ilya Muromets,2016
2.9,United States,Action,KillerWolf Films,2016
6.1,United States,Comedy,Metro-Goldwyn-Mayer (MGM),1942
5.7,Spain,Comedy,Andrea Films,1989
5.3,Spain,Comedy,Filmayer,1969
7.1,United Kingdom,Comedy,Moonriver,2022
6.5,Israel,Biography,Metaphor,2021
6.5,United States,Comedy,Josephson Entertainment,2010
3,United States,Action,Canal+ Polska,2015
8.9,Philippines,Action,Golden Era Films,1976
6,India,Action,Eagle Films,1963
5.7,United States,Comedy,Royal Berry Productions,2022
3.7,United Kingdom,Horror,Steve Best,2013
6.4,United States,Comedy,Rastar Pictures,1970
5.8,United States,Drama,Warner Bros.,1941
5.4,United Kingdom,Comedy,Dudley Dog Films Ltd,2018
6.5,France,Drama,Ciné Valse,1991
5.6,Sweden,Comedy,Film i Dalarna,2014
7.2,India,Drama,Mars & Movies Productions,1970
6.5,Mexico,Comedy,Frontera Films S.A.,1982
7.6,Argentina,Crime,Artistas Argentinos Asociados (AAA),1956
7.4,Netherlands,Drama,Rocketta Film,2008
5.3,United States,Crime,Duke Media,2007
7.1,United States,Comedy,Two Hands,2020
4.7,United Kingdom,Adventure,Regina,1932
3.5,India,Action,Inderjit Films Combine,2002
6.3,Norway,Drama,Motlys,2013
4.8,Spain,Comedy,Alquimia Cinema,2002
5.6,Iran,Drama,Nouramiran Films,2018
6,France,Comedy,Trésor Films,2012
4.9,United States,Comedy,Merchant Ivory Productions,2003
7.1,Finland,Drama,Filminor,1973
6.4,France,Drama,Sépia Productions,2004
6.7,United States,Action,TAFT Entertainment Pictures,1987
7,Germany,Drama,Art Oko Film,2010
6.5,United States,Drama,Johnson Production Group,2021
7.1,United States,Adventure,Mandeville Films,2017
3.5,Spain,Drama,Balcázar Producciones Cinematográficas,1969
6.6,Japan,Comedy,IMJ Entertainment,2005
6.4,United States,Animation,Big Idea Productions,2002
8.1,Australia,Biography,Summit Entertainment,2016
4.9,United Kingdom,Comedy,Blood And Carpet,2015
6.3,India,Comedy,Eros Worldwide,2009
5.5,Iran,Drama,Daricheh Cinema,2015
5.2,United States,Horror,Lascaux Pictures,2005
5.7,United States,Horror,Gramercy Pictures (II),1957
6.5,France,Drama,Sofracima,1977
5.3,United States,Action,Touchstone Pictures,1992
6.4,United States,Action,Losee Pictures,1980
8.1,Poland,Comedy,Studio Filmowe Zebra,2002
6.7,United States,Action,Walt Disney Productions,1979
4.7,France,Adventure,Gaumont,1993
4.4,Canada,Action,Sewell Brothers Entertainment,2014
7.1,United Kingdom,Comedy,Lake Films,1980
5.1,Japan,Action,Nikkatsu,1958
6,France,Drama,Maïa Films,2005
5.9,Italy,Comedy,Amato Film,1936
6.7,Spain,Comedy,El Mailan Films,2011
6.1,Netherlands,Adventure,Intuit Pictures,2006
7.2,Romania,Drama,Filmstudio Bucuresti,1966
7.5,United States,Comedy,Fox 2000 Pictures,2018
3.1,United States,Family,PM Entertainment Group,1998
5.2,United Kingdom,Adventure,Jules Verne Films Ltd.,1967
4.3,Mexico,Comedy,Cyclus Producciones,2016
6,France,Crime,Babe Film,2011
6.1,France,Crime,Swanie Productions,1985
6.4,United States,Action,George Kleine Productions,1921
6.7,Japan,Action,Nikkatsu,1961
4,United States,Fantasy,Launch Over,2016
7.2,United States,Comedy,Lovestreaks Productions,2003
5.5,Netherlands,Drama,Rotterdam Films,2013
2.7,United States,Thriller,Silverline Pictures,2002
6.5,United Kingdom,Comedy,Film Studios Manchester,1949
6.4,United States,Comedy,Twentieth Century Fox,1941
4.3,Japan,Action,Concept Film,2010
6.5,"Korea, South",Drama,Myung Films,2009
6.3,Germany,Drama,CineCentrum Berlin Film- und Fernsehproduktion,2021
4.8,Spain,Comedy,Potenza Producciones,2017
4.7,United States,Comedy,Psykik Junky Pictures,2011
3.3,India,Adventure,BizTV Network,2011
4.7,United States,Horror,Trans Atlantic Entertainment,1989
6.9,Mexico,Drama,Creative Works S.A.,2002
5.4,United States,Comedy,Tangled Leash Films,2019
6.6,Switzerland,Drama,Bayerischer Rundfunk (BR),1984
6.9,Spain,Crime,Memento Films Production,2018
7.1,United States,Adventure,American Film Properties,1974
6.9,United States,Comedy,Cinereach,2018
6,Mexico,Comedy,Altavista Films,2001
7,Japan,Drama,Japan Maritime Self-Defense Force,1972
6.6,Chile,Comedy,Wood Producciones,2001
3.6,United States,Comedy,B4 Entertainment,2022
6,France,Comedy,Ciné@,2011
5.6,United States,Comedy,Universal Pictures,1944
5.5,United States,Comedy,The Burrows of Hollywood,2000
6.1,Mexico,Adventure,Cima Films,1974
6.4,United States,Drama,Parts and Labor,2012
5.8,India,Comedy,Pappy Creations,2018
4.9,United States,War,Golden State Productions,1958
4.9,United States,Drama,Imperial Productions,1938
5,United Kingdom,Drama,Blood City,1977
7.2,United States,Action,Screen Gems,1999
6.1,Czech Republic,Drama,Total HelpArt T.H.A.,2009
5.1,United States,Action,American Victor Organization,1992
7,United States,Action,Raffaella De Laurentiis Productions,1993
8,France,Comedy,Les Films du Carrosse,1973
4.2,Canada,Comedy,Capital j. Films,2005
6.9,Japan,Comedy,Daiei Studios,1962
5.1,United Kingdom,Action,Fourth Culture Films,2010
5.8,United States,Comedy,Super Crispy Entertainment,2009
5.1,France,Comedy,Curiosa Films,2017
7,United States,Comedy,BS Productions,2019
3.5,United States,Action,Universal Pictures,1983
9,Canada,Documentary,Red Motel Pictures,1990
5.6,United States,Action,Comedian International Enterprises (C.I.E.),1975
5.9,Spain,Drama,Impala,1987
6.5,Sweden,Drama,Film i Väst,2016
4.4,United States,Drama,Cyfuno Ventures,2016
7,Japan,Animation,Toei Animation,2004
8.5,Bulgaria,Comedy,Boyana Film,1983
3.8,Canada,Action,Dragon Born Films,2016
4.9,Sweden,Comedy,Unlimited Stories,2017
6.3,United Kingdom,Comedy,Wildgaze Films,2014
4.6,Italy,Comedy,Filmauro,1986
6.5,United States,Western,Republic Pictures (I),1953
6.2,Ukraine,Drama,Eksperiment (Odessa),1993
5.8,Italy,Comedy,Kubla Khan,2009
5.6,Spain,Comedy,Eco Films,1968
5.6,Australia,Comedy,J.C. Williamson Ltd.,1933
6,United Kingdom,Action,Lindsay Shonteff Film Productions Limited,1976
5,United Kingdom,Drama,Aimimage Productions,2016
6.3,Spain,Drama,Acca Media,2018
7.1,United States,Action,Icon Entertainment International,1999
7.5,France,Animation,Aparte Film,2019
2.9,Argentina,Action,Trinity Productions,1985
6.9,United Kingdom,Drama,Two Tusk Productions,2020
6.8,Germany,Drama,Deutsche Columbia TriStar Filmproduktion,2002
6,Spain,Drama,Las Gentiles Película,2021
4.7,Italy,Comedy,CG Italia,1975
6.5,United States,Comedy,Edgewood Productions,1984
3.7,Sweden,Comedy,Sandrews,1955
7.2,Argentina,Drama,Argentina Sono Film S.A.C.I.,1936
6.7,Italy,Comedy,"""M.N. Produzioni Cinematografiche",1967
4.2,United States,Action,Halcyon Films,2019
6.5,Germany,Drama,Westdeutscher Rundfunk (WDR),2002
7.7,Italy,Comedy,Euro International Films,1973
6,Italy,Comedy,Nuova Dania Cinematografica,1974
5.7,United Kingdom,Drama,Oakmont Productions,1969
6.5,France,Comedy,Films Roger Richebé,1952
3.9,Germany,Drama,SamFilm Produktion,2009
6.2,United States,Adventure,The Mirisch Corporation,1978
6.4,United States,Action,Warner Bros.,1939
4.7,United Kingdom,Comedy,Windmill Films,1965
7,Canada,Drama,Go Films,2008
5.5,Hungary,Drama,Honeymood Films,2007
6.7,Russia,Action,Bazelevs Production,2015
4.5,United States,Action,Camouflage Productions Inc.,2001
4.7,Mexico,Drama,Astor Films,1951
2.5,Turkey,Comedy,Hüzzam Film,2019
6,India,Action,D.M.S. Films,1996
7.9,Spain,Adventure,Profilms 21,1965
4.5,Poland,Animation,Film Produkcja,2011
7,United States,Drama,Twentieth Century Fox,1940
5.9,Hungary,Drama,Magyar Televízió Drámai Föszerkesztöség,1991
7.3,Philippines,Crime,Reality Entertainment,2015
7.4,United States,Action,Walt Disney Pictures,2006
6.3,United States,Comedy,Imperadio Pictures Ltd.,1940
7.2,Germany,Comedy,Peter Rommel Productions,2002
5.5,United States,Action,New World Pictures,1986
4.9,United Kingdom,Comedy,British Muslim TV,2017
5,Italy,Drama,Cine 2000,2002
4.6,Mexico,Comedy,Cinematográfica Calderón S.A.,1962
6.1,France,Biography,Vertigo,2020
5.5,South Africa,Action,Film Trust S.A.,1977
6,United States,Action,Mascot Pictures,1931
4.5,United States,Sci-Fi,Headache Films,2021
6.2,United States,Comedy,Parker Film Company,2009
6.1,United States,Drama,Sigmund Neufeld Productions,1946
3.5,United States,Action,Millennium Films,1993
7.2,United States,Crime,Columbia Pictures,1939
9.4,Russia,Documentary,TSR Doc Films,2020
7.3,India,Action,X.B. Film Creators,2021
6.6,Canada,Drama,Téléfilm Canada,1993
5.6,Netherlands,Crime,Polygoon-Profilti Productie,1962
7.3,United States,Comedy,Harrell,1965
2.4,United States,Horror,Wildcat Entertainment,2003
7.2,Iceland,Thriller,Hugvangur,2003
3.5,United States,Comedy,Frat Star Production Company,2017
5.4,Australia,Romance,The Steve Jaggi Company,2021
2,United States,Horror,Rojak Films,2000
4.9,France,Comedy,Partner's Productions,1979
4.9,United States,Comedy,More Dogs Inc.,2000
4.7,Spain,Drama,Gobsmack,2014
7.7,United Kingdom,Documentary,Click Films,2012
4.9,Italy,Drama,Eagle Pictures,2004
6.2,United States,Comedy,Sarlui / Diamant,1988
6.7,Japan,Drama,Film Face Productions,1989
4.9,Canada,Comedy,Cineplex Odeon Films,1988
7.4,India,Action,D.M.S. Films,2004
7.5,India,Drama,Red Chillies Entertainment,2002
7.8,Australia,Adventure,Seven Shells Media,2011
7.8,United States,Mystery,Filmatics,2006
6.2,Australia,Drama,Dofine Productions,1986
5.1,United States,Comedy,Metro-Goldwyn-Mayer (MGM),2003
