IMDB Rating,Country,Genres (1st),Production Companies (1st),Year of Release
6.7,Norway,Drama,Speranza Films A/S,2009
7,United States,Action,Dimension Films,2007
5.1,United States,Animation,Dutchess Music,2017
7.5,India,Comedy,AGS Entertainment,2008
6.6,France,Drama,S.O.P.A.C.,1968
4.5,France,Comedy,LGM Productions,2015
6.3,United States,Drama,Create Entertainment,2018
7.2,Italy,Biography,Mega Film,1969
6.2,United States,Drama,Paramount Pictures,1983
6.6,United Kingdom,Biography,British Instructional Films (BIF),1926
7.1,Brazil,Drama,Celluloid Dreams,2006
6.5,Canada,Drama,Productions Kinesis,2016
4.8,Spain,Comedy,Arturo González Producciones Cinematográficas,1967
6.3,Italy,Horror,Fulvia Film,1982
6.3,Brazil,Drama,Cinedistri,1972
4.2,United States,Comedy,Defy Media,2016
6.1,United States,Drama,Catch One Productions LLC,2006
5.5,Hungary,Comedy,Cinema Film,2006
6.7,United States,Documentary,Lone Wolf Documentary Group,2017
6.2,United Kingdom,Drama,Dumbworld Productions,2011
6.6,Ireland,Biography,Amérique Film,2017
6,Norway,Comedy,ABC Film A/S,1955
5.9,United States,Comedy,Columbia Pictures,2006
4.7,France,Comedy,Les Films en Hiver,2004
7.5,Greece,Comedy,Village Roadshow Productions,2001
2,United States,Drama,PhilaDreams Films,2021
5.1,United States,Musical,Vanguard Productions (I),1957
7.4,Netherlands,Comedy,Lodewijk Films,2012
5.9,United States,Action,Golden Harvest Company,2016
4.3,United States,Horror,Steelyard Pictures,2022
4.4,Philippines,Action,Viva Films,2022
5,United States,Action,Sleepwalker Studios,2014
4.6,Australia,Comedy,Australian International Pictures Pty. Ltd.,1997
6,United States,Comedy,Bel Air Entertainment,2000
8.4,India,Biography,Madras Talkies,1997
7.2,United States,Crime,Nation of Artists,2012
5.1,Germany,Comedy,Jürgen Brüning Filmproduktion,2004
5.8,United States,Adventure,Sparrowhawk Productions,2013
6,Germany,Family,Studio Babelsberg,1993
4.6,United States,Horror,Industrial City Films,2010
5.6,United States,Drama,Warner Bros.,1938
4.1,Denmark,Comedy,Wise Guy Productions,1998
5.1,United States,Thriller,Shapiro Entertainment,1986
4.7,United States,Action,Ass Backwards Films,2019
5.5,Iran,Crime,Ghab Aseman,2020
5.7,United States,Crime,Badlands Entertainment,2018
6.5,United States,Comedy,Kings Road Entertainment,1986
5.1,Spain,Action,Bobina Verde,2015
5.6,United States,Drama,93 Films,2013
4.2,Philippines,Horror,Epicmedia Productions,2019
3.7,Philippines,Horror,Viva Films,2022
6.6,Iran,Drama,Rex Cinema & Theatre Company,1972
7.3,Hungary,Comedy,Imago Film,1941
4.2,Turkey,Comedy,BKM,2018
3.5,United States,Crime,New City Releasing,1995
5.7,United States,Comedy,De Line Pictures,2009
8.9,United States,Documentary,BR Creative,2022
6,Spain,Crime,AS Films Producciones,1960
7.4,United States,Crime,Filmways Pictures,1981
7.3,Romania,Comedy,Mandragora,2016
6.3,France,Comedy,Société Nouvelle de Cinématographie (SNC),1976
6.5,India,Adventure,Basant Studios,1962
4.1,United States,Horror,Crimson Productions,1999
4.9,Canada,Action,Taurus 7 Film Corporation,1998
6.2,France,Biography,VVZ Productions,2021
4.1,United States,Action,SACIS,1998
5.2,United Kingdom,Drama,Columbia Pictures Corporation,1956
4.5,United States,Crime,Singular Pictures,2003
5.8,Turkey,Drama,Istiklal Film,1955
5.6,United States,Drama,Every New Day Pictures,2019
4.1,United States,Horror,Bagboy Productions,2013
5.9,United States,Action,Twentieth Century Fox,1939
6.9,Hungary,Drama,C2,2006
7,United States,Comedy,Metro-Goldwyn-Mayer (MGM),1945
6.7,France,Drama,Centre national du cinéma et de l'image animée (CNC),2001
8,Canada,Drama,Palama Film Productions,1993
6.9,United Kingdom,Drama,Alcor Films,1994
7.8,Bulgaria,Drama,Boyana Film,1975
5.5,Mexico,Action,Alianza Cinematografica Mexicana S.A. de C.V.,1991
4.2,United States,Crime,Tal Productions,1965
6.6,France,Animation,Dire Faire Contre le Racisme,2001
7.2,United States,Biography,Eon Productions,2022
6.1,Mexico,Drama,Peliculas Guillermo Calderon,1955
6.5,United States,Drama,Kino Korsakoff,1993
5.1,United States,Crime,Sweet Chariot Productions,2015
6.5,Iran,Drama,Filmco Films,1968
6.4,Poland,Biography,Fundacja Filmowa im. Sw. Maksymiliana Kolbe,2019
6.8,United States,Drama,Sundance Selects,2011
4.8,United Kingdom,Crime,Rothernorth,1978
6.8,United Kingdom,Action,Twentieth Century Fox,2014
5.1,France,Drama,Marie-Amélie Productions,2004
6.8,United States,Comedy,Universal Pictures,2011
5.8,Denmark,Comedy,Palladium,1947
6.3,United States,Drama,Theatre Guild,1947
6,India,Drama,Amit Arts,1988
4.6,France,Drama,Hésiode Productions,2021
6.1,United States,Action,Warner Bros.,1950
3.8,India,Comedy,Chand V Creations,2017
4.1,United States,Comedy,Bacchus Films,2003
5.8,United Kingdom,Comedy,British International Pictures (BIP),1934
4.8,United Kingdom,Drama,E.J. Fancey Productions,1956
7.5,France,Comedy,Constellation,1991
3.5,Turkey,Horror,Ema Yapim,2020
7.1,United States,Family,Michigan Blue Lake Productions,2012
6,Hungary,Adventure,Forgan-Smith Entertainment,2008
6,United States,Drama,Universal Pictures,1932
7.5,Bangladesh,Drama,Kino-Eye Films,2014
5.3,France,Comedy,Nolita Cinema,2016
6.1,United States,Musical,Republic Pictures (I),1944
